,open,high,low,close
2019-05-16,1.12045,1.122415,1.116635,1.117435
2019-05-17,1.1176,1.118435,1.115525,1.115675
2019-05-20,1.116675,1.117495,1.11507,1.1166
2019-05-21,1.116975,1.118795,1.114205,1.11603
2019-05-22,1.1162,1.118045,1.11487,1.115075
2019-05-23,1.11535,1.118755,1.110705,1.118215
2019-05-24,1.118275,1.121225,1.117725,1.120335
2019-05-27,1.120975,1.12153,1.118705,1.11939
2019-05-28,1.1194,1.119845,1.115915,1.116045
2019-05-29,1.116455,1.117255,1.112445,1.113105
2019-05-30,1.113625,1.11434,1.111615,1.112945
2019-05-31,1.11315,1.117975,1.112525,1.116925
2019-06-03,1.1161,1.126205,1.116025,1.12411
2019-06-04,1.12435,1.127745,1.122655,1.125175
2019-06-05,1.1254,1.130675,1.121975,1.122115
2019-06-06,1.1223,1.130925,1.120105,1.127585
2019-06-07,1.12773,1.134785,1.125135,1.13351
2019-06-10,1.132775,1.133415,1.128995,1.131175
2019-06-11,1.131345,1.133765,1.130135,1.13263
2019-06-12,1.1329,1.134345,1.128265,1.128735
2019-06-13,1.128925,1.130375,1.126845,1.127665
2019-06-14,1.127675,1.128925,1.12025,1.120795
2019-06-17,1.1215,1.12472,1.12039,1.12184
2019-06-18,1.12202,1.124295,1.11814,1.11933
2019-06-19,1.119525,1.12544,1.118725,1.122635
2019-06-20,1.12284,1.131745,1.12278,1.12921
2019-06-21,1.129325,1.13779,1.128315,1.1369
2019-06-24,1.13668,1.14041,1.13668,1.13982
2019-06-25,1.13983,1.141215,1.134375,1.136625
2019-06-26,1.1362,1.139145,1.134755,1.136965
2019-06-27,1.137125,1.13816,1.134785,1.13692
2019-06-28,1.136845,1.139355,1.13507,1.137425
2019-07-01,1.137675,1.137675,1.128115,1.12854
2019-07-02,1.128675,1.13219,1.127525,1.128485
2019-07-03,1.12885,1.131235,1.126865,1.12776
2019-07-04,1.128075,1.129525,1.12732,1.128505
2019-07-05,1.12833,1.12879,1.120745,1.12253
2019-07-08,1.12265,1.123445,1.120705,1.12144
2019-07-09,1.12145,1.121885,1.119335,1.120795
2019-07-10,1.120775,1.126435,1.12019,1.1251
2019-07-11,1.12555,1.128575,1.124515,1.12537
2019-07-12,1.12552,1.127505,1.123815,1.12704
2019-07-15,1.126675,1.128395,1.125325,1.125795
2019-07-16,1.125925,1.12656,1.12021,1.12105
2019-07-17,1.120875,1.123375,1.119975,1.122435
2019-07-18,1.122675,1.128045,1.120525,1.1277
2019-07-19,1.12768,1.128205,1.120355,1.12206
2019-07-22,1.121875,1.122575,1.120625,1.120925
2019-07-23,1.1209,1.12098,1.114595,1.11518
2019-07-24,1.11523,1.115585,1.11271,1.114015
2019-07-25,1.114045,1.11878,1.11014,1.114705
2019-07-26,1.114695,1.115115,1.111195,1.11269
2019-07-29,1.11292,1.115105,1.111305,1.11446
2019-07-30,1.114695,1.116115,1.113225,1.115595
2019-07-31,1.1158,1.116205,1.106025,1.10752
2019-08-01,1.1076,1.109595,1.102685,1.108495
2019-08-02,1.1083,1.111645,1.106985,1.110865
2019-08-05,1.111295,1.121315,1.110455,1.120305
2019-08-06,1.120125,1.124975,1.116755,1.119975
2019-08-07,1.120225,1.124195,1.117915,1.119895
2019-08-08,1.120275,1.12328,1.117705,1.118075
2019-08-09,1.119015,1.122305,1.11834,1.119895
2019-08-12,1.119955,1.12308,1.11621,1.121355
2019-08-13,1.121375,1.122865,1.117015,1.11713
2019-08-14,1.117275,1.119075,1.113075,1.11391
2019-08-15,1.1139,1.115845,1.10915,1.110665
2019-08-16,1.11075,1.11124,1.10664,1.108985
2019-08-19,1.109375,1.11138,1.10762,1.107805
2019-08-20,1.10805,1.110685,1.106565,1.11005
2019-08-21,1.110425,1.11073,1.108065,1.10845
2019-08-22,1.10868,1.111335,1.106365,1.10797
2019-08-23,1.1082,1.115375,1.105175,1.114225
2019-08-26,1.114425,1.116395,1.10942,1.110155
2019-08-27,1.110225,1.111625,1.108575,1.10906
2019-08-28,1.1091,1.109795,1.107355,1.107745
2019-08-29,1.108,1.10934,1.10421,1.10568
2019-08-30,1.105655,1.106045,1.096325,1.09913
2019-09-02,1.098475,1.09968,1.095815,1.09678
2019-09-03,1.096925,1.097895,1.092595,1.0974
2019-09-04,1.09735,1.103855,1.096865,1.103585
2019-09-05,1.103295,1.108485,1.10167,1.103465
2019-09-06,1.10355,1.105735,1.102025,1.10277
2019-09-09,1.1026,1.106825,1.101555,1.10482
2019-09-10,1.104925,1.105955,1.103065,1.10433
2019-09-11,1.104375,1.105565,1.098535,1.101055
2019-09-12,1.1009,1.10874,1.092685,1.106505
2019-09-13,1.106545,1.110965,1.105555,1.107395
2019-09-16,1.109575,1.109575,1.09933,1.10009
2019-09-17,1.099905,1.107465,1.099025,1.107295
2019-09-18,1.10725,1.107575,1.101375,1.102975
2019-09-19,1.10337,1.107365,1.102285,1.104095
2019-09-20,1.104475,1.10678,1.099635,1.101835
2019-09-23,1.1013,1.102555,1.096545,1.099325
2019-09-24,1.099375,1.10243,1.098395,1.10198
2019-09-25,1.101825,1.102205,1.093755,1.094325
2019-09-26,1.094625,1.096745,1.090875,1.092125
2019-09-27,1.091925,1.09588,1.090475,1.09409
2019-09-30,1.09455,1.094795,1.088485,1.08983
2019-10-01,1.090925,1.094305,1.087915,1.093255
2019-10-02,1.093375,1.096375,1.090405,1.095915
2019-10-03,1.096,1.099935,1.094095,1.096455
2019-10-04,1.096425,1.099875,1.095705,1.097875
2019-10-07,1.097775,1.100065,1.096205,1.097125
2019-10-08,1.097925,1.09962,1.094105,1.095645
2019-10-09,1.095595,1.099065,1.095245,1.097125
2019-10-10,1.097425,1.103405,1.097175,1.100535
2019-10-11,1.1016,1.106285,1.10008,1.103275
2019-10-14,1.103425,1.104285,1.101275,1.102715
2019-10-15,1.103175,1.104615,1.099135,1.103335
2019-10-16,1.103275,1.108565,1.102245,1.107175
2019-10-17,1.1073,1.113985,1.106515,1.11243
2019-10-18,1.1126,1.117205,1.111475,1.11715
2019-10-21,1.1166,1.117955,1.113865,1.11495
2019-10-22,1.114925,1.115685,1.111785,1.1125
2019-10-23,1.1127,1.114075,1.110615,1.11304
2019-10-24,1.1131,1.116285,1.109315,1.110435
2019-10-25,1.11045,1.11231,1.107295,1.108025
2019-10-28,1.10785,1.11067,1.107625,1.109965
2019-10-29,1.10995,1.111855,1.107355,1.111215
2019-10-30,1.111325,1.11518,1.108015,1.115095
2019-10-31,1.11508,1.11758,1.113155,1.115205
2019-11-01,1.11515,1.117195,1.112825,1.11671
2019-11-04,1.1166,1.117545,1.112485,1.11281
2019-11-05,1.112825,1.114025,1.10635,1.10744
2019-11-06,1.107375,1.109295,1.10649,1.106605
2019-11-07,1.10725,1.10916,1.103605,1.105
2019-11-08,1.104975,1.105555,1.10166,1.10202
2019-11-11,1.102075,1.104315,1.101645,1.10331
2019-11-12,1.10325,1.103865,1.100235,1.10091
2019-11-13,1.101,1.102045,1.099545,1.10065
2019-11-14,1.100825,1.10275,1.098915,1.10213
2019-11-15,1.102145,1.105695,1.10146,1.105305
2019-11-18,1.105225,1.108995,1.104085,1.10724
2019-11-19,1.10725,1.108395,1.106255,1.107835
2019-11-20,1.10788,1.10814,1.105295,1.107215
2019-11-21,1.10736,1.109705,1.10522,1.10589
2019-11-22,1.105925,1.108755,1.10145,1.1021
2019-11-25,1.102075,1.103225,1.10037,1.10145
2019-11-26,1.101125,1.102565,1.100705,1.10206
2019-11-27,1.102625,1.102625,1.099225,1.099945
2019-11-28,1.099575,1.101795,1.099575,1.10097
2019-11-29,1.101,1.102835,1.098125,1.10191
2019-12-02,1.102125,1.109025,1.10029,1.10788
2019-12-03,1.108075,1.109365,1.106605,1.10819
2019-12-04,1.10808,1.111635,1.106685,1.107775
2019-12-05,1.108275,1.110805,1.10776,1.110405
2019-12-06,1.1107,1.110975,1.103995,1.106185
2019-12-09,1.105685,1.107795,1.105335,1.10639
2019-12-10,1.10705,1.109775,1.10628,1.10925
2019-12-11,1.109275,1.114495,1.107035,1.112965
2019-12-12,1.112225,1.115445,1.110295,1.113
2019-12-13,1.116325,1.11997,1.111205,1.11191
2019-12-16,1.112755,1.11582,1.112265,1.114405
2019-12-17,1.114775,1.117475,1.112935,1.115015
2019-12-18,1.11565,1.11565,1.111045,1.11137
2019-12-19,1.11182,1.114435,1.110725,1.112235
2019-12-20,1.11275,1.11275,1.106635,1.10764
2019-12-23,1.10808,1.109595,1.107005,1.108925
2019-12-24,1.10895,1.1094,1.10691,1.10856
2019-12-26,1.109475,1.110895,1.108235,1.10976
2019-12-27,1.1089,1.118835,1.1089,1.1174
2019-12-30,1.117625,1.122075,1.1169,1.11989
2019-12-31,1.120075,1.123935,1.119855,1.12176
2020-01-02,1.1219,1.122475,1.11636,1.117235
2020-01-03,1.1174,1.117995,1.112475,1.1161
2020-01-06,1.11635,1.120575,1.115725,1.119705
2020-01-07,1.119505,1.119765,1.113365,1.115295
2020-01-08,1.1153,1.11683,1.11017,1.110555
2020-01-09,1.111075,1.11205,1.109245,1.1106
2020-01-10,1.110875,1.112935,1.108505,1.112025
2020-01-13,1.112075,1.114705,1.11126,1.113405
2020-01-14,1.1137,1.114455,1.110435,1.1128
2020-01-15,1.11295,1.116355,1.111845,1.114975
2020-01-16,1.115125,1.11728,1.112775,1.11365
2020-01-17,1.11375,1.114265,1.108625,1.109065
2020-01-20,1.1093,1.110255,1.107665,1.10952
2020-01-21,1.109675,1.111805,1.108115,1.10823
2020-01-22,1.1084,1.109845,1.107015,1.10931
2020-01-23,1.109405,1.11089,1.10363,1.105425
2020-01-24,1.1057,1.10619,1.101975,1.10252
2020-01-27,1.102975,1.10376,1.100975,1.101905
2020-01-28,1.10235,1.102545,1.099795,1.102225
2020-01-29,1.10237,1.102775,1.099235,1.101055
2020-01-30,1.10185,1.103945,1.100685,1.103175
2020-01-31,1.1034,1.10959,1.101695,1.109205
2020-02-03,1.109205,1.10942,1.10357,1.10594
2020-02-04,1.106075,1.106435,1.103295,1.10443
2020-02-05,1.1045,1.104795,1.099385,1.099915
2020-02-06,1.0999,1.10141,1.096435,1.09831
2020-02-07,1.09797,1.098505,1.094205,1.09446
2020-02-10,1.0944,1.095755,1.090775,1.09111
2020-02-11,1.091175,1.09248,1.08914,1.09152
2020-02-12,1.09173,1.092565,1.086535,1.08737
2020-02-13,1.0881,1.088875,1.083415,1.084145
2020-02-14,1.083875,1.086125,1.082735,1.0831
2020-02-17,1.08373,1.085105,1.082905,1.083635
2020-02-18,1.0836,1.08378,1.078535,1.079145
2020-02-19,1.07935,1.081185,1.078225,1.08061
2020-02-20,1.08105,1.08212,1.077775,1.0785
2020-02-21,1.078325,1.086365,1.078325,1.084765
2020-02-24,1.082825,1.087215,1.080515,1.08531
2020-02-25,1.085305,1.08905,1.083015,1.088175
2020-02-26,1.08775,1.090885,1.085515,1.08825
2020-02-27,1.08818,1.100665,1.087975,1.10005
2020-02-28,1.1003,1.105325,1.095095,1.102615
2020-03-02,1.10445,1.118475,1.103025,1.11336
2020-03-03,1.113525,1.12137,1.109525,1.11731
2020-03-04,1.1179,1.118755,1.109545,1.11354
2020-03-05,1.114295,1.124495,1.111965,1.123725
2020-03-06,1.12385,1.135485,1.121135,1.1286
2020-03-09,1.134375,1.149565,1.1336,1.14438
2020-03-10,1.14385,1.14584,1.1275,1.128085
2020-03-11,1.12885,1.136685,1.12574,1.126945
2020-03-12,1.126245,1.13338,1.105555,1.118495
2020-03-13,1.1198,1.12213,1.10551,1.11071
2020-03-16,1.114395,1.123695,1.108505,1.118185
2020-03-17,1.118,1.118935,1.0955,1.099795
2020-03-18,1.09965,1.10451,1.080195,1.091395
2020-03-19,1.090625,1.09821,1.06552,1.069125
2020-03-20,1.06717,1.08312,1.063755,1.06882
2020-03-23,1.070225,1.082825,1.0636,1.07262
2020-03-24,1.072675,1.088795,1.07193,1.078805
2020-03-25,1.078395,1.089405,1.076035,1.08827
2020-03-26,1.087855,1.105875,1.086595,1.10312
2020-03-27,1.103125,1.114745,1.095355,1.114215
2020-03-30,1.11242,1.11443,1.101005,1.104475
2020-03-31,1.105075,1.105515,1.09268,1.10332
2020-04-01,1.1032,1.10393,1.09028,1.09629
2020-04-02,1.09655,1.09686,1.082075,1.085675
2020-04-03,1.085525,1.085945,1.07727,1.0811
2020-04-06,1.081525,1.083555,1.076835,1.079265
2020-04-07,1.07935,1.092725,1.078365,1.089175
2020-04-08,1.089275,1.09022,1.083,1.08573
2020-04-09,1.085085,1.09518,1.084095,1.09291
2020-04-10,1.093275,1.095265,1.09196,1.093375
2020-04-13,1.093685,1.09679,1.089275,1.0911
2020-04-14,1.090975,1.09872,1.090445,1.098095
2020-04-15,1.09872,1.099215,1.085645,1.091115
2020-04-16,1.09075,1.09114,1.081675,1.08397
2020-04-17,1.08395,1.089275,1.08121,1.087495
2020-04-20,1.087105,1.089695,1.084125,1.0862
2020-04-21,1.08615,1.08804,1.081655,1.085795
2020-04-22,1.08625,1.08853,1.08033,1.082355
